Age;EmileBB;IzaacBB;ParadisBB;SaxonBB;BBmean
-68;-0.067320649;-0.963523199;0.345181997;0.13258883;-0.138268256
-67;-0.067130002;-0.954792805;0.343902738;0.130473942;-0.136886532
-66;-0.066939355;-0.94606241;0.342623479;0.128359054;-0.135504808
-65;-0.066748708;-0.937332016;0.34134422;0.126244166;-0.134123085
-64;-0.06655806;-0.928601621;0.340064961;0.124129279;-0.132741361
-63;-0.066367413;-0.919871227;0.338785702;0.122014391;-0.131359637
-62;-0.066176766;-0.911140832;0.337506443;0.119899503;-0.129977914
-61;-0.065986119;-0.902410438;0.336227184;0.117784615;-0.12859619
-60;-0.065795471;-0.893680043;0.334947925;0.115669728;-0.127214466
-59;-0.065604824;-0.884949649;0.333668666;0.11355484;-0.125832742
-58;-0.065414177;-0.876219254;0.332389407;0.111439952;-0.124451019
-57;-0.06522353;-0.86748886;0.331110148;0.109325064;-0.123069295
-56;-0.065032883;-0.858758465;0.329830889;0.107210177;-0.121687571
-55;-0.064842235;-0.850028071;0.32855163;0.105095289;-0.120305847
-54;-0.064651588;-0.841297676;0.327270997;0.102980401;-0.118924467
-53;-0.064460941;-0.832567282;0.32598762;0.100865513;-0.117543773
-52;-0.064268701;-0.823836887;0.3247015;0.098750626;-0.116163366
-51;-0.064073247;-0.815106493;0.323412641;0.096635738;-0.114782841
-50;-0.06387454;-0.806376098;0.322121046;0.09452085;-0.113402186
-49;-0.06367254;-0.797645704;0.320826717;0.092405962;-0.112021392
-48;-0.063467206;-0.788915309;0.319529658;0.090291074;-0.110640446
-47;-0.063258498;-0.780184915;0.318229871;0.088176187;-0.109259339
-46;-0.063046377;-0.77145913;0.31692736;0.086061299;-0.107879212
-45;-0.0628308;-0.762742816;0.315622127;0.083946411;-0.10650127
-44;-0.06261173;-0.754036355;0.314314174;0.081830595;-0.105125829
-43;-0.062389125;-0.745340126;0.313003507;0.079712992;-0.103753188
-42;-0.062162944;-0.73665451;0.311690125;0.077593704;-0.102383407
-41;-0.061933149;-0.727979887;0.310374034;0.075472836;-0.101016542
-40;-0.061699699;-0.719316638;0.309055236;0.073350491;-0.099652653
-39;-0.061462553;-0.710665144;0.307733733;0.071226772;-0.098291798
-38;-0.061221672;-0.702025783;0.306409529;0.069101782;-0.096934037
-37;-0.060977015;-0.693398938;0.305082627;0.066975625;-0.095579426
-36;-0.060728542;-0.684784987;0.303753028;0.064848404;-0.094228025
-35;-0.060476212;-0.676184313;0.302420738;0.062720223;-0.092879892
-34;-0.060219986;-0.667597294;0.301085757;0.060591185;-0.091535085
-33;-0.059959824;-0.659024311;0.299748089;0.058461393;-0.090193664
-32;-0.059695685;-0.650465746;0.298407738;0.056330951;-0.088855686
-31;-0.059427529;-0.641921977;0.297064705;0.054199962;-0.08752121
-30;-0.059155316;-0.633393386;0.295718995;0.05206853;-0.086190295
-29;-0.058879005;-0.624880352;0.294370609;0.049936757;-0.084862998
-28;-0.058598557;-0.616383257;0.293019551;0.047804748;-0.083539379
-27;-0.058313932;-0.60790248;0.291665823;0.045672605;-0.082219496
-26;-0.058025088;-0.599438402;0.290309429;0.043540433;-0.080903408
-25;-0.057731986;-0.590991404;0.288950372;0.041408333;-0.079591172
-24;-0.057434586;-0.582561865;0.287588653;0.039276411;-0.078282847
-23;-0.057132848;-0.574150167;0.286224277;0.037144769;-0.076978493
-22;-0.05682673;-0.565756689;0.284857246;0.03501351;-0.075678166
-21;-0.056516194;-0.557381812;0.283487563;0.032882738;-0.074381927
-20;-0.056201199;-0.549025916;0.282115231;0.030752556;-0.073089832
-19;-0.055881704;-0.540689381;0.280740253;0.028623068;-0.071801942
-18;-0.055557671;-0.532372589;0.279362632;0.026494378;-0.070518313
-17;-0.055229057;-0.524075918;0.27798237;0.024366587;-0.069239005
-16;-0.054895824;-0.515799751;0.276599471;0.0222398;-0.067964076
-15;-0.05455793;-0.507544467;0.275213937;0.020114121;-0.066693585
-14;-0.054215336;-0.499310446;0.273825772;0.017989652;-0.06542759
-13;-0.053868002;-0.491098069;0.272434978;0.015866497;-0.064166149
-12;-0.053515888;-0.482907716;0.271041559;0.01374476;-0.062909322
-11;-0.053158952;-0.474739768;0.269645516;0.011624543;-0.061657166
-10;-0.052797156;-0.466594605;0.268246854;0.00950595;-0.06040974
-9;-0.052430458;-0.458472607;0.266845574;0.007389085;-0.059167102
-8;-0.052058819;-0.450374155;0.265441681;0.00527405;-0.057929311
-7;-0.051682198;-0.442299629;0.264035176;0.00316095;-0.056696426
