DepthTop;DepthBottom;AgeTop;AgeBottom;Volume;Charcoal
0;0.5;-93;-76;1.4;0
0.5;1;-76;-60;1.4;0.17
1;1.5;-60;-44;1.4;0.02
1.5;2;-44;-28;1.4;0
2;2.5;-28;-12;1.4;0.17
2.5;3;-12;4;1.4;0.17
3;3.5;4;20;1.4;0.22
3.5;4;20;37;1.4;0
4;4.5;37;53;1.4;0
4.5;5;53;69;1.4;0.1
5;5.5;69;97;1.4;0.07
5.5;6;97;125;1.4;0.12
6;6.5;125;154;1.4;0.12
6.5;7;154;179;1.4;0
7;7.5;179;207;1.4;0.03
7.5;8;207;238;1.4;0.24
8;8.5;238;266;1.4;0
8.5;9;266;292;1.4;0.07
9;9.5;292;317;1.4;0.03
9.5;10;317;343;1.4;0.16
10;10.5;343;365;1.4;0.16
10.5;11;365;386;1.4;0.42
11;11.5;386;409;1.4;0.3
11.5;12;409;428;1.4;0.07
12;12.5;428;448;1.4;0.27
12.5;13;448;466;1.4;0.49
13;13.5;466;484;1.4;0.36
13.5;14;484;501;1.4;0.07
14;14.5;501;519;1.4;0.24
14.5;15;519;538;1.4;0.2
15;15.5;538;567;1.4;0.15
15.5;16;567;597;1.4;0.16
16;16.5;597;628;1.4;0.2
16.5;17;628;658;1.4;0.32
17;17.5;658;686;1.4;0.01
17.5;18;686;719;1.4;0.18
18;18.5;719;753;1.4;0.13
18.5;19;753;788;1.4;0.58
19;19.5;788;822;1.4;0.15
19.5;20;822;853;1.4;0.36
20;20.5;853;872;1.4;0.34
20.5;21;872;891;1.4;0.12
21;21.5;891;911;1.4;0.08
21.5;22;911;931;1.4;0.05
22;22.5;931;954;1.4;0.13
22.5;23;954;979;1.4;0
23;23.5;979;1003;1.4;0.13
23.5;24;1003;1027;1.4;0.22
24;24.5;1027;1053;1.4;0.45
24.5;25;1053;1078;1.4;0.21
25;25.5;1078;1094;1.4;0.59
25.5;26;1094;1112;1.4;0.59
26;26.5;1112;1130;1.4;0.12
26.5;27;1130;1149;1.4;0.14
27;27.5;1149;1167;1.4;0.23
27.5;28;1167;1186;1.4;0.06
28;28.5;1186;1206;1.4;1.43
28.5;29;1206;1226;1.4;0.02
29;29.5;1226;1247;1.4;0.55
