Age;FFEmile;FFIzaac;FFParadis;FFSaxon;FFmean
-68;-0.001364888;-8.88E-05;-0.001017367;-0.001137492;-0.000902138
-67;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-66;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-65;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-64;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-63;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-62;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-61;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-60;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-59;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-58;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-57;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-56;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-55;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-54;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-53;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-52;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-51;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-50;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-49;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-48;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-47;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-46;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-45;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-44;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-43;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-42;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-41;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-40;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-39;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-38;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-37;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-36;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-35;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-34;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-33;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-32;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
-31;-0.001364888;-8.88E-05;-0.001017367;-0.001318652;-0.000902138
