Age;FSindex
-68;0.167860201
-67;0.168473436
-66;0.169086671
-65;0.169699906
-64;0.170313141
-63;0.170926376
-62;0.171539611
-61;0.172152846
-60;0.172766081
-59;0.173379317
-58;0.173992551
-57;0.174605787
-56;0.175219022
-55;0.175832257
-54;0.176445339
-53;0.177058118
-52;0.177670768
-51;0.178283471
-50;0.178896232
-49;0.179509055
-48;0.180121944
-47;0.180734906
-46;0.181347432
-45;0.181958989
-44;0.182569436
-43;0.18317864
-42;0.183786574
-41;0.184393215
-40;0.184998534
-39;0.185602508
-38;0.186205108
-37;0.186806309
-36;0.187406087
-35;0.188004414
-34;0.188601264
-33;0.189196612
-32;0.189790432
-31;0.190382698
-30;0.190973383
-29;0.191562463
-28;0.19214991
-27;0.192354939
-26;0.192558472
-25;0.192759804
-24;0.192959253
-23;0.193157132
-22;0.193352741
-21;0.193546733
-20;0.193738407
-19;0.193928417
-18;0.194116061
-17;0.194298256
-16;0.19447838
-15;0.194656408
-14;0.194832316
-13;0.195006082
-12;0.195178021
-11;0.195347432
-10;0.19551463
-9;0.195679592
-8;0.195842296
-7;0.195999664
-6;0.196154729
-5;0.196307467
-4;0.196457854
-3;0.196605867
-2;0.196751485
-1;0.196894683
0;0.197035439
1;0.19717373
2;0.197309533
3;0.197440456
4;0.197568509
5;0.197694346
6;0.197817266
7;0.197937924
8;0.197601051
9;0.19726218
10;0.196920952
11;0.196578021
12;0.196233031
13;0.195883274
14;0.195531758
15;0.195177791
16;0.194821689
17;0.194463765
18;0.194104665
19;0.193743367
20;0.193379851
21;0.193014096
22;0.192646082
23;0.192272473
24;0.191896575
25;0.191518367
26;0.191137829
27;0.190754944
28;0.190371009
29;0.189984683
30;0.189595948
31;0.189204783
32;0.188811171
33;0.188412469
34;0.18801096
35;0.187607279
36;0.187201081
37;0.186792345
38;0.186382683
39;0.185970442
40;0.185555605
41;0.185138476
42;0.184718388
43;0.184293381
44;0.183866032
45;0.183435675
46;0.183002605
47;0.182566836
48;0.18213057
49;0.181691542
50;0.181249733
51;0.180805446
52;0.180358021
53;0.179905523
54;0.179450179
55;0.17899197
56;0.17853088
57;0.178066889
58;0.177601887
59;0.177133945
60;0.176663046
61;0.176189172
62;0.175712305
63;0.175229587
64;0.174743849
65;0.174255074
66;0.173292594
67;0.172329016
68;0.171365567
69;0.170400972
70;0.169434898
71;0.168467325
72;0.167498236
73;0.166525136
74;0.165550803
75;0.1645746
76;0.163598968
77;0.16262173
78;0.16164562
79;0.16066755
80;0.159688113
81;0.158706681
82;0.157723846
83;0.156737167
84;0.155748754
85;0.15475859
86;0.15376846
87;0.152776237
88;0.151785494
89;0.150792611
90;0.149797871
91;0.148801257
92;0.147803049
93;0.146800861
94;0.145796758
95;0.144725356
96;0.143654071
97;0.142581408
98;0.141509378
99;0.140435174
100;0.139359294
101;0.138279843
102;0.137196725
103;0.136107028
104;0.135013342
105;0.133917941
106;0.132820393
107;0.131716289
108;0.130608124
109;0.129493643
110;0.12837344
111;0.127247619
112;0.126116279
113;0.124977829
114;0.123834068
115;0.122688183
116;0.121539968
117;0.120386709
118;0.119231567
119;0.118071841
120;0.116907068
121;0.115737902
122;0.114563884
123;0.11338401
124;0.112199485
125;0.111013415
126;0.109825055
127;0.108632576
128;0.107439604
129;0.106242412
130;0.105041634
131;0.10383682
132;0.102628602
133;0.101415191
134;0.100198295
135;0.098980139
136;0.09776053
137;0.096538215
138;0.095315134
139;0.094088979
140;0.092859836
141;0.091627795
142;0.090393204
143;0.089153794
144;0.087911493
145;0.086668992
146;0.085425838
147;0.08418055
148;0.082935534
149;0.081688537
150;0.080439127
151;0.079187901
152;0.077934685
153;0.076677778
154;0.075419563
155;0.074161895
156;0.072905597
157;0.071647951
158;0.070392056
159;0.069134954
160;0.067876223
161;0.066616445
162;0.065355448
163;0.064091819
164;0.062827384
165;0.061563951
166;0.060302075
167;0.059039355
168;0.057779549
169;0.056519279
170;0.055258133
171;0.053996674
172;0.052734492
173;0.051470938
174;0.05020706
175;0.048944622
176;0.047684164
177;0.046423827
178;0.045166313
179;0.043908813
180;0.042651637
181;0.041394381
182;0.040137358
183;0.038879224
184;0.037621473
185;0.036365823
186;0.035112801
187;0.033860591
188;0.032612062
189;0.031364237
190;0.030117187
191;0.028870982
192;0.027625692
193;0.026380236
194;0.025136068
195;0.02389486
196;0.022658035
197;0.021422449
198;0.020192033
199;0.018962971
200;0.017735332
201;0.016509183
202;0.015284589
203;0.014060722
204;0.01283855
205;0.011619701
206;0.010405565
207;0.009193522
208;0.007987179
209;0.006782816
210;0.005580499
211;0.004380512
212;0.003182478
213;0.001986026
214;0.000791662
215;-0.000398808
216;-0.00158468
217;-0.002767639
218;-0.003945142
219;-0.00511995
220;-0.006292065
221;-0.007461619
222;-0.008628228
223;-0.009793304
224;-0.01095535
225;-0.012113179
226;-0.013265637
227;-0.014414838
228;-0.015557727
229;-0.016697571
230;-0.017834056
231;-0.018967376
232;-2.01E-02
233;-0.021224295
234;-0.022348045
235;-0.023466707
236;-0.024578827
237;-0.025687236
238;-0.026787923
239;-0.027884906
240;-0.028978085
241;-0.030067492
242;-0.031152942
243;-0.032235047
244;-0.033313138
245;-0.034386042
246;-0.035451532
247;-0.036512824
248;-0.037565751
249;-0.038614441
250;-0.039658797
251;-0.040697796
252;-0.041729208
253;-0.042753237
254;-0.043766553
255;-0.044767681
256;-0.045754755
257;-0.046730182
258;-0.047690804
259;-0.048640331
260;-0.049581694
261;-0.050515886
262;-0.051444347
263;-0.052367944
264;-0.053285939
265;-0.054197521
266;-0.055100977
267;-0.055998678
268;-0.056887607
269;-0.057770839
270;-0.058648608
271;-0.059520915
272;-0.060387667
273;-0.061249056
274;-0.062105083
275;-0.062954422
276;-0.063795567
277;-0.064630804
278;-0.065456744
279;-0.066276985
280;-0.06709172
281;-0.067900949
282;-0.068704676
283;-0.069503274
284;-0.070296372
285;-0.071083226
286;-0.071861061
287;-0.072633418
288;-0.073396045
289;-0.07415303
290;-0.074904742
291;-0.075650999
292;-0.076391802
293;-0.077127335
294;-0.0778576
295;-0.078581684
296;-0.079297954
297;-0.080008426
298;-0.080710198
299;-0.08140655
300;-0.082097665
301;-0.082783181
302;-0.083463281
303;-0.084138327
304;-0.084807778
305;-0.085471638
306;-0.086127405
307;-0.086777415
308;-0.087418998
309;-0.088055017
310;-0.088685653
311;-0.089311083
312;-0.089930954
313;-0.09054562
314;-0.091154907
315;-0.091758286
316;-0.092353828
317;-0.092943652
318;-0.093523906
319;-0.094098985
320;-0.09466854
321;-0.095232921
322;-0.095791954
323;-0.09634564
324;-0.096893979
325;-0.097436626
326;-0.097970298
327;-0.098498292
328;-0.099016819
329;-0.09953003
330;-0.100037753
331;-0.100540333
332;-0.101037599
333;-0.101529551
334;-0.10201619
335;-0.102497346
336;-0.102970634
337;-0.103438279
338;-0.103897394
339;-0.104351217
340;-0.104799579
341;-0.105242819
342;-0.105680767
343;-0.106113256
344;-0.106540624
345;-0.106962533
346;-0.107376465
347;-0.107784949
348;-0.108184634
349;-0.108579216
350;-0.108968527
351;-0.109352566
352;-0.109731335
353;-0.110104666
354;-0.110472727
355;-0.110835518
356;-0.111190388
357;-0.111539829
358;-0.111879876
359;-0.112214506
360;-0.112544049
361;-0.112868011
362;-0.11318705
363;-0.113500509
364;-0.113808881
365;-0.114112001
366;-0.114406268
367;-0.114694802
368;-0.114974174
369;-0.115247986
370;-0.115516729
371;-0.115780238
372;-0.116038514
373;-0.116291393
374;-0.116538876
375;-0.116781449
376;-0.117016037
377;-0.11724491
378;-0.117465325
379;-0.117680357
380;-0.117890328
381;-0.118094915
382;-0.118294441
