Age;Infe;Supe
-68;-0.041902707;0.40431077
-67;-0.036090305;0.463969891
-66;-0.029009941;0.458280541
-65;-0.018975286;0.450494003
-64;-0.019390472;0.449903243
-63;-0.019596746;0.456907464
-62;-0.019497293;0.439350188
-61;-0.015761723;0.436693525
-60;-0.014551307;0.454489965
-59;-0.007466323;0.436577896
-58;-0.011296788;0.460351481
-57;-0.00841095;0.436602743
-56;-0.001366372;0.448074212
-55;-0.011125008;0.450524294
-54;-0.007654498;0.450583872
-53;-0.001683439;0.432036563
-52;0.008731989;0.431063559
-51;0.009037092;0.439022407
-50;0.000552338;0.441281991
-49;0.008783029;0.429429942
-48;0.003751811;0.427943523
-47;0.013816517;0.435432546
-46;0.012157082;0.41830712
-45;0.010173199;0.432819496
-44;0.023566127;0.417365429
-43;0.010519655;0.430717851
-42;0.020603657;0.435595954
-41;0.029103194;0.438112636
-40;0.028872672;0.416917836
-39;0.027637792;0.423599918
-38;0.027748142;0.435948587
-37;0.030325036;0.426067563
-36;0.030821433;0.420242555
-35;0.038799454;0.414149724
-34;0.039232637;0.406853113
-33;0.036433066;0.415701095
-32;0.041358562;0.395007576
-31;0.041367956;0.417952564
-30;0.039328418;0.417219839
-29;0.044899293;0.407765006
-28;0.044607945;0.405003683
-27;0.055860502;0.410743306
-26;0.049080535;0.424258414
-25;0.051120069;0.399238562
-24;0.054927252;0.398686798
-23;0.048629194;0.413626755
-22;0.05924725;0.39625959
-21;0.058698234;0.389103412
-20;0.064719197;0.390870834
-19;0.058005801;0.402062944
-18;0.069107445;0.38408224
-17;0.05989064;0.393405018
-16;0.06054021;0.402886529
-15;0.06724781;0.388714265
-14;0.073430815;0.378785501
-13;0.082179495;0.394809997
-12;0.076364294;0.372694124
-11;0.073503116;0.381822309
-10;0.079676792;0.397703262
-9;0.078354152;0.377981663
-8;0.08156764;0.384420834
-7;0.085307722;0.379269543
-6;0.085436543;0.37170005
-5;0.089256903;0.354150433
-4;0.079458644;0.369098574
-3;0.087494856;0.369655031
-2;0.088414239;0.3601356
-1;0.088531232;0.360848549
0;0.088754519;0.365202963
1;0.091787495;0.356251464
2;0.095370442;0.35912911
3;0.094464419;0.354798328
4;0.09633088;0.341957722
5;0.103437142;0.33896248
6;0.093017371;0.366151607
7;0.10494958;0.347357196
8;0.106550822;0.339618833
9;0.103260158;0.349104967
10;0.110801252;0.340753145
11;0.110167505;0.352257723
12;0.104915707;0.339025489
13;0.10625473;0.336887561
14;0.114660923;0.328470321
15;0.11352682;0.335526594
16;0.113797882;0.334405282
17;0.115687633;0.328484704
18;0.116006446;0.309927063
19;0.110456237;0.323832101
