age;depth;Sedimentation rate;PAR;Picea;Betula;Pinus;Populus;Alnus.crispa;Alnus.rugosa;Juniperus;Salix;Larix;Cyperaceae;Pediastrum;Ericaceae;Myrica;Lycopodium;Nuphar;Potamogeton;Artemisia;Poaceae;;;;;;;;;;;;;;;;;;;;
-93;150;0.032786885;99.96220498;46.18004248;27.91226155;11.91377017;0;12.93495047;0;0;0;0;0.340393434;0;0.680786867;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
35;154;0.032786885;456.8549001;239.5027204;125.9811997;35.99462849;0;38.76344607;4.153226365;2.768817576;0;0;2.768817576;0;5.537635153;1.384408788;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
193;158;0.032921811;535.420275;292.5139521;123.1637693;56.45006094;0;46.1864135;0;0;0;0;6.842431629;0;5.131823722;3.421215815;0;0;0;0;1.710607907;;;;;;;;;;;;;;;;;;;;
351;162;0.033333333;599.7930266;392.103501;116.3777514;60.87451614;0;8.952134726;0;0;0;0;12.53298862;0;7.161707781;0;0;1.790426945;0;1.790426945;0;;;;;;;;;;;;;;;;;;;;
517;166;0.033755274;1159.24611;549.9573079;188.2633938;174.5715106;13.69188319;95.8431823;23.96079557;30.80673717;3.422970796;10.26891239;17.11485398;13.69188319;47.92159115;3.422970796;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
600;169;0.034234234;1329.343762;764.0260786;147.8760152;237.2177744;0;73.9380076;18.4845019;41.59012928;0;9.24225095;23.10562738;32.34787833;9.24225095;0;4.621125475;0;0;0;0;;;;;;;;;;;;;;;;;;;;
624;170;0.034423408;684.2144312;395.6902734;121.5923236;103.044342;0;37.09596313;4.121773682;0;0;0;6.182660522;0;12.36532104;2.060886841;0;2.060886841;0;2.060886841;0;;;;;;;;;;;;;;;;;;;;
667;173;0.03500761;1070.201639;447.0783179;277.3658686;110.1864409;3.799532446;125.3845707;34.19579202;15.19812979;3.799532446;3.799532446;18.99766223;15.19812979;18.99766223;3.799532446;3.799532446;7.599064893;0;0;3.799532446;;;;;;;;;;;;;;;;;;;;
681;174;0.035190616;744.764742;416.1920617;146.0323023;94.92099652;2.433871706;58.41292094;0;0;2.433871706;2.433871706;7.301615117;0;9.735486823;0;2.433871706;2.433871706;0;2.433871706;0;;;;;;;;;;;;;;;;;;;;
732;177;0.035856574;1954.865603;856.6911025;350.7258876;373.7243065;11.49920943;126.4913037;28.74802357;51.74644243;0;17.24881414;57.49604715;0;45.99683772;5.749604715;11.49920943;0;5.749604715;11.49920943;5.749604715;;;;;;;;;;;;;;;;;;;;
