Age;Depth (cm);Sedimentation rate;Sedimentation rate x 1000;Concentration (grains/cm3) / 1000;picea;betula;pinus;populus;alnus.crispa;alnus.rugosa;juniperus;salix;larix;cyperaceae;ericaceae;myrica;lycopodium;artemisia;poaceae;pediastrum;nuphar;potamogeton;tetrade;saxifragaceae;epilobium.palustris;coptis.trifolia;ambrosia;thalictrum;sparganium;rosaceae;equisetum;chenopodiaceae;scutellaria.galericulata;aster;dryas;brassicaceae;caryophyllaceae;sparganiaceae;sheperdia.canadensis;rubus;cruciferae;ranunculaceae;papaveraceae
-93;0;0.03125;31.25;3.066250434;46.04072398;27.8280543;11.87782805;0;12.8959276;0;0;0;0;0.339366516;0.678733032;0;0;0;0;0;0;0;0;0.339366516;0;0;0;0;0.283286119;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;4;0.025316456;25.316456;13.86554622;52.42424242;27.57575758;7.878787879;0;8.484848485;0.909090909;0.606060606;0;0;0.606060606;1.212121212;0.303030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;8;0.025316456;25.316456;15.92875318;54.63258786;23.00319489;10.54313099;0;8.626198083;0;0;0;0;1.277955272;0.958466454;0.638977636;0;0;0.319488818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351;12;0.024096386;24.096386;17.37113402;64.9851632;19.28783383;10.08902077;0;1.483679525;0;0;0;0;2.077151335;1.18694362;0;0;0.296735905;0;0;0.296735905;0;0;0;0;0;0;0;0;0;0.327868852;0.655737705;0;0;0;0;0;0;0;0;0;0;0
517;16;0.036144578;36.144578;32.20887728;46.88715953;16.05058366;14.88326848;1.167315175;8.171206226;2.042801556;2.626459144;0.291828794;0.875486381;1.459143969;4.085603113;0.291828794;0;0;0;1.167315175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
600;19;0.041666667;41.666667;35.95959596;55.73033708;10.78651685;17.30337079;0;5.393258427;1.348314607;3.033707865;0;0.674157303;1.685393258;0.674157303;0;0.337078652;0;0;2.359550562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
624;20;0.069767442;69.767442;17.71276596;57.65765766;17.71771772;15.01501502;0;5.405405405;0.600600601;0;0;0;0.900900901;1.801801802;0.3003003;0;0.3003003;0;0;0.3003003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
667;23;0.071428571;71.428571;27.08571429;40.62140391;25.2013809;10.01150748;0.345224396;11.39240506;3.107019563;1.380897583;0.345224396;0.345224396;1.726121979;1.726121979;0.345224396;0.345224396;0;0.345224396;1.380897583;0.690448792;0;0;0;0;0;0;0;0;0;0;0.301204819;0;0;0;0;0;0;0;0;0;0;0
681;24;0.058823529;58.823529;18.1120944;55.70032573;19.54397394;12.70358306;0.325732899;7.817589577;0;0;0.325732899;0.325732899;0.977198697;1.302931596;0;0.325732899;0.325732899;0;0;0.325732899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
732;27;0.052631579;52.631579;45.46666667;43.69501466;17.88856305;19.06158358;0.586510264;6.451612903;1.46627566;2.639296188;0;0.879765396;2.93255132;2.346041056;0.293255132;0.586510264;0.586510264;0.293255132;0;0;0.293255132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
