Age;Depth (cm);Sedimentation rate (0.5 cm);nbr_yr
-93;0;0.030674847;16.3
-76.7;0.5;0.031055901;16.1
-60.6;1;0.031446541;15.9
-44.7;1.5;0.03125;16
-28.7;2;0.031446541;15.9
-12.8;2.5;0.03125;16
3.2;3;0.031055901;16.1
19.3;3.5;0.031446541;15.9
35.2;4;0.030120482;16.6
51.8;4.5;0.031446541;15.9
67.7;5;0.027624309;18.1
85.8;5.5;0.025906736;19.3
105.1;6;0.023041475;21.7
126.8;6.5;0.02;25
151.8;7;0.023255814;21.5
173.3;7.5;0.025906736;19.3
192.6;8;0.027624309;18.1
210.7;8.5;0.027624309;18.1
228.8;9;0.030864198;16.2
245;9.5;0.037037037;13.5
258.5;10;0.023041475;21.7
280.2;10.5;0.022123894;22.6
302.8;11;0.020080321;24.9
327.7;11.5;0.021459227;23.3
351;12;0.019379845;25.8
376.8;12.5;0.020746888;24.1
400.9;13;0.019920319;25.1
426;13.5;0.020408163;24.5
450.5;14;0.022624434;22.1
472.6;14.5;0.023255814;21.5
494.1;15;0.043859649;11.4
505.5;15.5;0.044642857;11.2
516.7;16;0.045454545;11
527.7;16.5;0.051020408;9.8
537.5;17;0.05952381;8.4
545.9;17.5;0.066666667;7.5
553.4;18;0.026595745;18.8
572.2;18.5;0.018050542;27.7
599.9;19;0.036231884;13.8
613.7;19.5;0.051020408;9.8
623.5;20;0.058823529;8.5
632;20.5;0.076923077;6.5
638.5;21;0.076923077;6.5
645;21.5;0.071428571;7
652;22;0.068493151;7.3
659.3;22.5;0.067567568;7.4
666.7;23;0.067567568;7.4
674.1;23.5;0.078125;6.4
680.5;24;0.073529412;6.8
687.3;24.5;0.076923077;6.5
693.8;25;0.054347826;9.2
703;25.5;0.052083333;9.6
712.6;26;0.047619048;10.5
723.1;26.5;0.054347826;9.2
732.3;27;0.052631579;9.5
741.8;27.5;0.054945055;9.1
750.9;28;0.05952381;8.4
759.3;28.5;0.054347826;9.2
768.5;29;0.061728395;8.1
776.6;29.5;0.06097561;8.2
784.8;30;0.056179775;8.9
793.7;30.5;0.053763441;9.3
803;31;0.052631579;9.5
812.5;31.5;0.057471264;8.7
821.2;32;0.056179775;8.9
830.1;32.5;0.056818182;8.8
838.9;33;0.056179775;8.9
847.8;33.5;0.056179775;8.9
856.7;34;0.058823529;8.5
865.2;34.5;0.056818182;8.8
874;35;0.052631579;9.5
883.5;35.5;0.056179775;8.9
892.4;36;0.050505051;9.9
902.3;36.5;0.051546392;9.7
912;37;0.052083333;9.6
921.6;37.5;0.052083333;9.6
931.2;38;0.056179775;8.9
940.1;38.5;0.054347826;9.2
949.3;39;0.056818182;8.8
958.1;39.5;0.056179775;8.9
967;40;0.066666667;7.5
974.5;40.5;0.066666667;7.5
982;41;0.065789474;7.6
989.6;41.5;0.05952381;8.4
998;42;0.061728395;8.1
1006.1;42.5;0.05952381;8.4
1014.5;43;0.057471264;8.7
1023.2;43.5;0.058823529;8.5
1031.7;44;0.058139535;8.6
1040.3;44.5;0.066666667;7.5
1047.8;45;0.071428571;7
1054.8;45.5;0.064102564;7.8
1062.6;46;0.0625;8
1070.6;46.5;0.06097561;8.2
1078.8;47;0.05952381;8.4
1087.2;47.5;0.058139535;8.6
1095.8;48;0.054945055;9.1
1104.9;48.5;0.054945055;9.1
1114;49;0.066666667;7.5
1121.5;49.5;0.060240964;8.3
1129.8;50;0.073529412;6.8
1136.6;50.5;0.067567568;7.4
1144;51;0.070422535;7.1
1151.1;51.5;0.070422535;7.1
1158.2;52;0.073529412;6.8
1165;52.5;0.069444444;7.2
1172.2;53;0.06097561;8.2
1180.4;53.5;0.057471264;8.7
1189.1;54;0.057471264;8.7
1197.8;54.5;0.056818182;8.8
1206.6;55;0.061728395;8.1
1214.7;55.5;0.05952381;8.4
1223.1;56;0.052631579;9.5
1232.6;56.5;0.053763441;9.3
1241.9;57;0.063291139;7.9
1249.8;57.5;0.067567568;7.4
1257.2;58;0.071428571;7
1264.2;58.5;0.080645161;6.2
1270.4;59;0.084745763;5.9
1276.3;59.5;0.079365079;6.3
1282.6;60;0.051546392;9.7
1292.3;60.5;0.054347826;9.2
1301.5;61;0.052631579;9.5
1311;61.5;0.053191489;9.4
1320.4;62;0.057471264;8.7
1329.1;62.5;0.06097561;8.2
1337.3;63;0.069444444;7.2
1344.5;63.5;0.065789474;7.6
1352.1;64;0.064935065;7.7
1359.8;64.5;0.063291139;7.9
1367.7;65;0.052631579;9.5
1377.2;65.5;0.046296296;10.8
1388;66;0.050505051;9.9
1397.9;66.5;0.050505051;9.9
1407.8;67;0.054347826;9.2
1417;67.5;0.054945055;9.1
1426.1;68;0.058139535;8.6
1434.7;68.5;0.071428571;7
1441.7;69;0.065789474;7.6
1449.3;69.5;0.056818182;8.8
1458.1;70;0.047619048;10.5
1468.6;70.5;0.043859649;11.4
1480;71;0.049019608;10.2
1490.2;71.5;0.044642857;11.2
1501.4;72;0.042735043;11.7
1513.1;72.5;0.043859649;11.4
1524.5;73;0.045454545;11
1535.5;73.5;0.047619048;10.5
1546;74;0.047619048;10.5
1556.5;74.5;0.051546392;9.7
1566.2;75;0.046296296;10.8
1577;75.5;0.049019608;10.2
1587.2;76;0.046296296;10.8
1598;76.5;0.050505051;9.9
1607.9;77;0.048543689;10.3
1618.2;77.5;0.053191489;9.4
1627.6;78;0.052631579;9.5
1637.1;78.5;0.053191489;9.4
1646.5;79;0.052631579;9.5
1656;79.5;0.054347826;9.2
1665.2;80;0.04950495;10.1
1675.3;80.5;0.048076923;10.4
