Age;Temp;sup;inf
0;3.5293;3.865466854;3.193211749
25;4.1793;4.578466854;3.782211749
50;1.5931;1.747166854;1.443311749
75;1.4618;1.604566854;1.325511749
100;1.3809;1.517166854;1.253311749
125;0.924;1.018066854;0.841011749
150;-0.0495;0.662965685;-0.716882904
175;-0.4623;0.210520251;-1.090140469
200;0.5969;1.370374816;-0.131498034
225;0.9968;1.808029382;0.230544401
250;0.2375;0.976083947;-0.456213164
275;-1.0531;-0.437761487;-1.623670729
300;-0.9913;-0.370406921;-1.567528294
325;-0.1063;0.598547644;-0.766585859
350;-0.1852;0.51180221;-0.837743424
375;-0.3272;0.356056776;-0.965900989
400;0.1777;0.908711341;-0.508858554
425;0.2647;1.003665907;-0.429916119
450;0.022;0.737520472;-0.649273684
475;-0.353;0.326475038;-0.988331249
500;-0.7091;-0.063870396;-1.310288814
525;-0.2822;0.403312101;-0.92372686
550;0.7978;1.585794599;0.053735094
575;0.1621;0.889177096;-0.521102952
600;0.1606;0.887159594;-0.522140998
625;0.4847;1.241642091;-0.228679044
650;0.164;0.890024589;-0.51851709
675;-0.1273;0.570607086;-0.781755136
700;0.5978;1.364389584;-0.125393182
725;0.4724;1.226672081;-0.238531228
750;-0.18;0.511654579;-0.828569274
775;0.4464;1.197337076;-0.26150732
800;0.5877;1.351719574;-0.133345366
825;1.044;1.851102071;0.279816588
850;1.2189;2.042284569;0.438378542
875;0.285;1.019067066;-0.406259504
900;0.292;1.026249564;-0.39969755
925;-0.3563;0.315832061;-0.985935596
950;0.2491;0.978514559;-0.437873642
975;0.6361;1.401997056;-0.087411688
1000;0.8362;1.620779554;0.093950266
1025;0.1709;0.891591291;-0.507686757
1050;1.679;2.542903029;0.857176219
1075;1.0578;1.862014766;0.295439196
1100;1.0896;1.896426504;0.324602172
1125;1.6317;2.489738241;0.815465149
1150;1.441;2.280349979;0.643228125
1175;1.2964;2.121561716;0.512791102
1200;0.6206;1.380873454;-0.098345922
1225;0.581;1.337085191;-0.133782945
1250;0.7011;1.468096929;-0.024819969
1275;1.5351;2.381108666;0.730143008
1300;1.5123;2.355720404;0.709905984
1325;1.1221;1.927832141;0.357168961
1350;0.526;1.274543879;-0.181768063
1375;0.3416;1.072055616;-0.348305086
1400;0.6065;1.361767354;-0.10824211
1425;0.2687;0.991379091;-0.413479133
1450;0.8088;1.582390829;0.075483843
1475;0.0657;0.768102566;-0.59645318
1500;0.82;1.593714304;0.086309796
1525;0.8495;1.625492656;0.113391731
1550;1.2255;2.036771009;0.453973666
1575;1.7463;2.606749361;0.925655601
1600;1.7506;2.610927714;0.929937536
1625;0.8288;1.600806066;0.096319471
1650;1.3413;2.161584419;0.560401406
1675;1.9651;2.844262771;1.125183341
1700;1.4129;2.238941124;0.625965276
1725;1.4403;2.268419476;0.651147211
1750;1.684;2.534797829;0.872029146
1775;1.64;2.486076181;0.832611081
1800;0.9156;1.692154534;0.177593016
1825;0.5482;1.289232886;-0.154425049
1850;1.4428;2.268611239;0.655456886
1875;0.3446;1.065289591;-0.337761179
1900;1.401;2.221767944;0.618420756
1925;-0.6149;0.013346296;-1.205097309
1950;0.179;0.882324649;-0.486415374
1975;1.3341;2.146903001;0.559066561
2000;2.1784;3.071081354;1.323348496
2025;1.718;2.5662542;0.907232723
2050;1.1904;1.987827047;0.43031695
2075;1.1815;1.977499894;0.422701177
2100;1.5947;2.42947274;0.796985404
2125;0.5526;1.287545587;-0.145430369
2150;0.6739;1.419818434;-0.035246143
2175;-0.2359;0.42279128;-0.857961916
2200;-0.2028;0.458464127;-0.827577689
2225;1.2268;2.023636974;0.466306538
2250;1.4468;2.26400982;0.665790765
2275;1.7403;2.584882667;0.931774992
2300;2.3718;3.276055514;1.503659218
2325;1.9786;2.84482836;1.148343445
2350;1.8605;2.714901207;1.041927672
2375;1.7886;2.635574054;0.977311899
2400;2.0758;2.9495469;1.237596126
2425;1.5356;2.357319747;0.749280353
2450;0.9471;1.712192594;0.217264579
2475;0.7912;1.54086544;0.076648806
2500;0.9167;1.677738287;0.190633033
2525;0.3217;1.025469691;-0.347193159
2550;0.7705;1.516301095;0.05928065
2575;0.6039;1.3332325;-0.090945542
2600;2.9447;3.896363904;2.027428266
2625;1.6567;2.485095308;0.862602075
2650;0.7888;1.533826712;0.077775883
2675;0.6159;1.343858116;-0.078150309
2700;2.1881;3.06518952;1.3448235
2725;1.7465;2.580820925;0.945697308
2750;2.5354;3.444252329;1.659971116
2775;1.806;2.644783733;1.000544925
2800;1.6835;2.510015137;0.890218733
2825;1.9832;2.837546541;1.161792541
2850;1.7725;2.606177945;0.97166635
2875;2.9856;3.93420935;2.069740158
2900;1.1978;1.975540754;0.452713966
2925;1.2938;2.079972158;0.539987775
2950;1.3645;2.156803562;0.604461583
2975;1.7733;2.603934966;0.974835391
3000;2.1485;3.01426637;1.3148092
3025;3.0696;4.02229429;2.148624387
3050;2.4702;3.365122209;1.606839573
3075;2.0157;2.866650128;1.19615476
3100;1.8489;2.683278047;1.045769947
3125;1.9782;2.824205966;1.163285134
3150;1.257;2.033633885;0.511300321
3175;1.9701;2.813961805;1.157015508
3200;0.8667;1.604789724;0.159230694
3225;1.3131;2.093017643;0.563645881
3250;1.602;2.408745562;0.825561068
3275;2.2332;3.099373481;1.397176255
3300;3.0387;3.9809014;2.126491442
3325;1.1184;1.87702932;0.389606629
3350;1.6026;2.406657239;0.828221815
3375;1.4421;2.230185158;0.683537002
3400;1.7163;2.529813077;0.932152189
3425;1.6167;2.420040996;0.842567376
3450;1.6683;2.475868915;0.889782563
3475;-0.21;0.417996835;-0.80910225
3500;0.2763;0.949924754;-0.368587064
3525;1.0122;1.75512884;0.297786548
3550;1.8048;2.622432927;1.015460159
3575;2.0828;2.926237014;1.26763377
3600;1.8149;2.6320411;1.025807382
3625;1.6877;2.491945187;0.911280993
3650;0.7604;1.475549274;0.072854604
3675;0.9775;1.71265336;0.269928216
3700;1.2157;1.972757447;0.486001827
3725;1.5757;2.366261534;0.812275438
3750;0.5077;1.19576562;-0.15345095
3775;1.1133;1.858369707;0.395122661
3800;0.9462;1.674573794;0.244496272
3825;2.1;2.93747788;1.288969884
3850;1.9308;2.751381967;1.136443495
3875;1.2786;2.036286054;0.546917106
3900;1.6805;2.47579014;0.911190718
3925;0.9863;1.714694227;0.283664329
3950;1.8377;2.646398314;1.05453794
3975;1.2716;2.0256024;0.542911552
4000;0.5899;1.278306487;-0.073214837
4025;1.8231;2.628021544;1.043139289
4050;1.5148;2.2895366;0.764893416
4075;1.7862;2.585851657;1.011047542
4100;2.1541;2.987966714;1.344601668
4125;2.1041;2.93238177;1.300055795
4150;2.2411;3.081496827;1.424609921
4175;2.2856;3.129411884;1.465564047
4200;3.336;4.27902694;2.416618174
4225;2.2697;3.110241997;1.4524723
4250;2.7237;3.606657054;1.863926426
4275;1.315;2.06297211;0.590080553
4300;0.1836;0.822887167;-0.432965321
4325;0.5788;1.254902224;-0.074711195
4350;0.9068;1.61331728;0.222742932
4375;1.4617;2.220132337;0.725397058
4400;0.9896;1.702247394;0.298951184
4425;1.8091;2.59886245;1.041005311
4450;1.2362;1.970577507;0.523359437
4475;1.7553;2.538292564;0.993713563
4500;0.9158;1.61790762;0.23476769
4525;2.0328;2.84034154;1.246179021
4550;1.6777;2.450475459;0.925690352
4575;1.1799;1.904209378;0.476001684
4600;3.1726;4.085743297;2.279713015
4625;1.5995;2.361877216;0.857224346
4650;1.7317;2.505611135;0.977535678
4675;2.1158;2.925345055;1.325847009
4700;2.7037;3.568178974;1.85845834
4725;3.2327;4.146612893;2.337869672
4750;2.6151;3.469246812;1.779881003
4775;2.6675;3.525580731;1.827992334
4800;2.0562;2.85511465;1.275703666
4825;2.0057;2.79874857;1.230714997
4850;0.8358;1.516482489;0.173026328
4875;1.5517;2.299616408;0.82153766
4900;1.1757;1.886750327;0.482048991
4925;1.9525;2.736584246;1.185660322
4950;2.6621;3.512818165;1.828471654
4975;3.166;4.063652085;2.285082985
5000;3.5375;4.469586004;2.621994316
5025;2.9357;3.809335105;2.078363232
5050;2.3108;3.123784205;1.513832148
5075;1.5641;2.304833306;0.839101063
5100;2.2118;3.013082407;1.425969979
5125;2.0174;2.799031508;1.250938895
5150;2.2514;3.054180609;1.46350781
5175;1.7147;2.46522971;0.978776726
5200;3.0763;3.95547881;2.211645642
5225;2.3779;3.189427911;1.580614557
5250;1.5367;2.266977012;0.820383473
5275;2.0647;2.844126113;1.298952389
5300;1.5721;2.303475214;0.854121304
5325;1.9804;2.749524315;1.22439022
5350;2.5504;3.372673415;1.740959136
5375;2.5534;3.374822516;1.744528051
5400;2.3338;3.133171617;1.546696967
5425;2.7736;3.613720718;1.945465883
5450;2.7828;3.622769819;1.954734798
5475;2.6514;3.47771892;1.836703714
5500;1.9761;2.73696802;1.22657263
5525;3.234;4.113422034;2.365651009
5550;2.4277;3.228976047;1.637029389
5575;2.35;3.14263006;1.567707769
5600;2.4823;3.286284074;1.688386148
5625;2.6818;3.503538087;1.869864528
5650;2.7805;3.6103921;1.960142908
5675;1.9573;2.707546114;1.216321287
5700;2.6314;3.444600127;1.827199667
5725;2.518;3.31915414;1.725578047
5750;2.8205;3.649108154;2.000156426
5775;3.2804;4.151562167;2.417234806
5800;2.0897;2.84621618;1.340913186
5825;2.5706;3.371670194;1.776991565
5850;2.4236;3.209424207;1.644969945
5875;1.7033;2.41927822;0.994248325
5900;2.747;3.561132234;1.939526704
5925;2.7932;3.610486247;1.982305084
5950;2.1843;2.94224026;1.432283464
5975;1.7391;2.453394274;1.030461843
6000;1.0503;1.697748287;0.408240223
6025;1.65;2.350343655;0.954012756
6050;2.5269;3.306539024;1.750585289
6075;1.3374;1.999534392;0.677557823
6100;0.927;1.54582976;0.309430356
6125;1.8585;2.561825129;1.155402889
6150;2.4603;3.216720497;1.703075422
6175;1.926;2.627315865;1.222847955
6200;1.6668;2.339211234;0.991520488
6225;1.414;2.058006602;0.765893022
6250;2.9167;3.69960197;2.128665555
6275;2.6638;3.418397339;1.903038088
6300;1.9741;2.658792707;1.282210621
6325;2.1937;2.895088075;1.484083154
6350;2.2558;2.958883444;1.543455687
6375;3.1033;3.882878812;2.313428221
6400;3.0646;3.83627418;2.281600754
6425;1.8394;2.490169549;1.176273287
6450;2.2711;2.958764917;1.57004582
6475;2.665;3.385960285;1.929618353
6500;2.1307;2.796555654;1.449390886
6525;3.0554;3.810368878;2.285163947
6550;2.2224;2.899082102;1.530637008
6575;1.5846;2.201695326;0.952810069
6600;2.7697;3.50070855;2.02418313
6625;2.9908;3.744021775;2.223456191
