Age;Temp;sup;inf
-63;2.1;2.8;1.5
-55;1.9;2.6;1.4
-47;2;2.7;1.4
-40;1.9;2.6;1.3
-32;1.7;2.4;1.2
-21;1.5;2.1;1
-9;1.3;1.9;0.8
15;0;0.5;-0.4
37;0.2;0.7;-0.2
75;0.3;0.8;-0.1
110;0;0.4;-0.5
150;0.1;0.6;-0.3
190;-0.4;0;-0.9
300;-0.7;-0.2;-1.2
630;-0.5;-0.1;-1
1240;-1.1;-0.6;-1.7
1515;-0.7;-0.3;-1.3
1785;-0.7;-0.3;-1.2
2065;-1.1;-0.7;-1.7
2320;-0.7;-0.3;-1.3
2565;-0.7;-0.3;-1.2
2810;-0.9;-0.5;-1.5
3050;-1;-0.5;-1.6
3295;-1;-0.5;-1.6
3550;-0.4;0;-0.9
3865;-0.6;-0.2;-1.2
4140;-0.9;-0.5;-1.5
4380;-0.1;0.3;-0.6
4615;-0.5;-0.1;-1
4855;-0.5;-0.1;-1
5090;-0.4;0;-0.9
5330;-0.2;0.2;-0.7
5565;-0.4;0;-0.9
5805;-0.2;0.2;-0.6
6040;-0.9;-0.4;-1.4
6305;-0.2;0.2;-0.7
6440;0.1;0.6;-0.3
6635;0.3;0.8;-0.1
6770;0.3;0.8;-0.1
6970;0.2;0.7;-0.2
7100;0.1;0.5;-0.4
7300;0;0.5;-0.4
7405;0.1;0.6;-0.3
7520;0.3;0.8;-0.1
7600;0.4;0.9;0
7715;0.3;0.8;-0.1
7795;0.2;0.7;-0.2
7910;0.2;0.7;-0.2
7990;0.2;0.7;-0.2
8105;0.3;0.8;-0.1
8185;0.3;0.8;-0.1
8305;0.3;0.7;-0.1
8390;0.3;0.7;-0.1
8515;0.2;0.7;-0.2
8595;0.2;0.6;-0.3
8640;0.2;0.7;-0.2
8805;0.4;0.9;0
9015;0;0.5;-0.4
9225;0.1;0.6;-0.3
9435;-0.1;0.3;-0.6
9610;0.4;0.9;0
9730;0;0.5;-0.4
9920;-0.1;0.3;-0.6
10145;-0.5;-0.1;-1
10370;0.5;1;0.1
10445;-0.3;0.1;-0.8
10480;-1.1;-0.6;-1.7
10520;-1;-0.6;-1.6
11400;-1.2;-0.7;-1.8
12490;-2;-1.4;-2.7
13585;-2.5;-1.8;-3.2
