AGE;TEMP1;TEMP2;TEMP3;TEMP5;MEAN
-68;1.30;5.13;2.43;-0.54;2.08
-67;1.30;5.13;2.43;-0.54;2.08
-66;1.30;5.13;2.43;-0.54;2.08
-65;1.30;5.13;2.43;-0.54;2.08
-64;1.30;5.13;2.43;-0.54;2.08
-63;1.30;5.13;2.43;-0.54;2.08
-62;1.30;5.08;2.43;-0.54;2.07
-61;1.30;5.02;2.43;-0.54;2.05
-60;1.30;4.97;2.43;-0.54;2.04
-59;1.30;4.92;2.43;-0.54;2.03
-58;1.30;4.87;2.43;-0.54;2.02
-57;1.30;4.81;2.43;-0.54;2.00
-56;1.30;4.76;2.43;-0.54;1.99
-55;1.30;4.71;2.43;-0.54;1.98
-54;1.30;4.74;2.43;-0.54;1.98
-53;1.28;4.76;2.43;-0.54;1.98
-52;1.26;4.79;2.43;-0.54;1.99
-51;1.23;4.81;2.43;-0.54;1.98
-50;1.21;4.84;2.43;-0.54;1.99
-49;1.18;4.87;2.43;-0.54;1.99
-48;1.16;4.89;2.43;-0.54;1.99
-47;1.14;4.92;2.43;-0.54;1.99
-46;1.11;4.89;2.43;-0.54;1.97
-45;1.09;4.86;2.43;-0.54;1.96
-44;1.06;4.83;2.43;-0.54;1.95
-43;1.04;4.80;2.43;-0.54;1.93
-42;1.01;4.77;2.43;-0.54;1.92
-41;0.99;4.74;2.43;-0.54;1.91
-40;0.97;4.71;2.43;-0.54;1.89
-39;0.94;4.66;2.43;-0.54;1.87
-38;0.92;4.60;2.43;-0.54;1.85
-37;0.89;4.55;2.43;-0.54;1.83
-36;0.87;4.50;2.43;-0.54;1.82
-35;0.85;4.45;2.43;-0.54;1.80
-34;0.82;4.39;2.43;-0.54;1.78
-33;0.80;4.34;2.43;-0.54;1.76
-32;0.77;4.29;2.43;-0.54;1.74
-31;0.75;4.25;2.43;-0.54;1.72
-30;0.73;4.21;2.43;-0.54;1.71
-29;0.70;4.17;2.43;-0.54;1.69
-28;0.68;4.13;2.43;-0.54;1.68
-27;0.65;4.10;2.43;-0.54;1.66
-26;0.63;4.06;2.43;-0.54;1.65
-25;0.60;4.02;2.43;-0.54;1.63
